sexo,idade,numero_de_amigos,basquete,futebol_americano,futebol,softbol,voleibol,natacao,animacao,beisebol,tenis,esportes,fofo,danca,banda,marcha,musica,rock,cabelo,vestido,shopping,compras,roupas,nossa_marca,marca_concorrente,bebidas
F,27,49,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
F,27,41,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,20,40,0,10,0,0,0,0,10
F,26,1,0,0,0,0,0,10,0,0,30,0,60,0,0,0,10,0,50,0,0,0,30,0,0,0
M,28,32,0,50,0,0,0,0,0,0,0,0,0,0,10,0,10,10,0,0,0,0,0,0,0,0
M,28,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
F,29,0,0,0,0,0,0,10,0,0,0,0,10,30,0,0,10,0,0,0,0,0,0,0,0,0
NE,28,21,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0
NE,26,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0
F,28,29,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0
M,26,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
F,27,37,0,10,0,80,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,27,89,0,0,0,0,0,0,0,10,0,10,0,20,0,0,10,0,0,0,0,0,0,0,0,0
F,26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
F,26,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,10,0,0
F,27,0,0,0,0,0,30,20,0,0,0,10,60,10,0,0,20,30,40,0,10,0,20,0,0,0
F,28,48,0,10,0,0,0,0,0,30,30,0,0,0,10,0,20,0,20,0,0,0,0,0,0,0
F,28,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,10,10,20,10,0,0,0
F,28,93,10,0,0,0,20,0,10,0,0,10,0,0,0,0,10,10,0,0,0,0,0,0,10,0
F,26,64,0,0,0,0,0,0,0,0,0,0,0,0,20,10,10,0,0,0,0,0,0,0,0,10
F,29,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,0,0,0,0,0,0,0
F,25,16,0,0,0,0,0,10,0,0,0,0,0,0,0,0,20,60,0,0,0,0,0,0,0,0
F,28,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,10,0,0,0,0,0,0,0
F,27,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,0,0,10,0,0,10,0
F,26,15,0,20,0,50,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,25,17,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,27,39,0,20,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
F,28,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,10,0,0,0,0
NE,27,49,0,0,0,0,0,0,0,0,0,0,0,30,0,0,20,0,10,0,10,0,10,0,0,0
M,29,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
F,28,162,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,20,0,10,10,10,0,0,0
F,27,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,10,0,0,0,0,0
