,nota_review,review
4623,5,Muito eficiente a entrega.
5432,5,Entrega eficiente. 
24922,5,Muito ágil na entrega. 
34,3,Entrega no prazo
8569,5,Entrega foi muito ágil
2870,1,Demora na entrega
604,3,rapidez na entrega. 
10659,5,Paciência
14359,5,Entrega ótima 
38898,1,Esperando a entrega
7507,5,Entrega o que promete 
21586,2,Entrega em atraso
6167,5,Ótima entrega!
39270,1,Estou no aguardo da entrega. 
5893,4,A entrega foi feita no prazo
18758,5,Entrega no prazo e eficiente
18656,5,Entrega muito rápido
3768,5,Entrega rapidinha.
25160,5,ENTREGA COM RAPIDEZ E EXCELENCIA
19339,1,entrega errada!!
2029,1,Tem que ser mais rapido a entrega 
6527,5,Muito rápida a entrega. 
10492,4,Recomendado
6426,2,péssima entrega
20068,1,"Estou insatisfeita com a entrega
"
3479,5,A entrega atrasou
5523,4,Produto e entrega
4175,5,Confiavel
4003,1,Atraso na entrega. 
26833,5,entrega dentro do contratado
19457,5,Rápido e eficiente na entrega 
124,1,", muito ruim ! "
18218,3,Aguardando a entrega
24999,2,Entrega vagarosa
1056,5,foda
21396,4,"A entrega foi correta
"
2195,1,Sem palavras
32139,4,Ótimo brinquedo
29156,4,Comprou chegou.
20228,5,Loja com responsabilidade 
30214,3,JÁ PASSOU DO PRAZO DE ENTREGA.
28927,5,Era o que eu queria.
24730,3,A entrega é muito demorada. 
20596,5,Loja recomenda 
19030,4,Entrega como combinado...
20540,5,Eficiente do pedido a entrega
4844,2,Demorando muito a entrega
2923,5,Entrega dentro do prazo 
755,4,correto
31236,2,Demora a chegar
19528,5,entrega antes do previsto 
37449,5,Amei a loja
9034,4,Blz 
10341,4,rapidez 
5638,4,Empresa Confiável
7053,2,Medio
13214,5,Loja eficiente! 
1699,5,EFICIENTE !!!
13086,5,Entrega pontual
9376,1,Péssima loja
9944,5,No prazo
13286,5,qualidade.
8259,5,Ótimo prazo de entrega.
10762,3,chegou sujo
27518,1,Esperando.
30909,5,Entrega feita com sucesso
27956,5,"Achei gostoso
"
3627,4,bacana
10183,5,Sensacional.
11494,5,Positiva
34940,4,rewcomendo a loja
13662,4,Seguro 
14431,5,curti
38858,5,a entrega surpreende pela rapidez.
37981,1,Uma vergonha
32770,5,A entrega chegou no prazo.
2624,5,Essa loja é muito eficiente e recomedo
38596,5,Tecnologia japonesa
15960,1,uma bosta
39231,2,Um demora pra entrega
8938,5,ENTREGA NO PRAZO LOJA HONESTA
7004,4,chegou direitinho
39229,5,Loja responsável
17167,3,Tira a entrega pelo correio 
23943,3,A entrega deve ser mais rápida
38935,5,Muito satisfeito com a entrega. 
30621,1,Não entrega.
8547,5,Entrega dentro do esperado
36455,2,Demora demasiada na entrega
25074,5,vlw
5092,5,Fiquei satisfeito
751,5,perfeito.
1589,5,A entrega foi muito antes do prazo.
9606,5,Mais rápido do que o previsto.
24993,3,exelente loja
847,5,Loja confiável 
4014,1,Entrega atrasada!
21562,5,"Adorei a loja
"
2121,5,Loja honesta!...
6631,5,muito sastifeita
34971,1,sem comentario
402,5,Dentro do previsto
20735,1,período muito longo para a entrega.
31188,5,Ótimo equipamento!
8557,5,Entrega feita dentro do prazo
28131,1,Cartucho porcaria.
28559,5,Entrega prometida dentro do prazo
27350,4,Qualidade e Rapidez!!!!!!!!!!!!!!!!!!!!!!!!!!!
2915,5,Muito eficiente e eficaz.
4040,4,"entrega sempre no praso,"
34724,5,Entrega foi excelente!
102,5,otimo
10360,5,positia
34262,5,Do jeito que eu queria.
12548,5,Recomento a loja
25392,1,Demora muito 
1079,5, Loja maravilhosa
6067,5,aprovado
5492,5,Muito agradecida 
11176,4,recebi só no correio
