reputacao_artista,altura,largura,peso,preco_escultura,preco_base_envio,diferenca_dias_entrega,data_agendada_dias,data_agendada_mes,data_agendada_ano,data_entrega_dias,data_entrega_mes,data_entrega_ano,material_Argila,material_Bronze,material_Latão,material_Madeira,material_Mármore,material_Não especificado,material_Pedra,internacional_Sim,envio_expresso_Sim,instalacao_incluida_Sim,transporte_Aéreo,transporte_Não especificado,transporte_Rodoviário,fragil_Sim,pedido_extra_cliente_Sim,localizacao_remota_Sim,custo_previsto
0.67,2.1336,1.2192,48.987936,36.33,73.29,0,2,5,2020,2,5,2020,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,1157.2689259938143
0.61,1.8288,1.524,43.998424,22.207500000000003,71.505,2,4,1,2022,6,1,2022,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,1123.899666310726
0.14,4.572,2.4384,343.369144,32.97,124.8975,3,14,9,2021,17,9,2021,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,1007.542657812381
0.63,3.048,1.2192,758.859416,23.0475,93.6075,-1,3,12,2021,2,12,2021,False,False,False,False,True,False,False,False,True,True,False,False,True,False,True,True,1558.8433537351912
0.34,9.7536,1.8288,505.75508,34.9125,119.7,4,3,2,2022,7,2,2022,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,1440.8987354643841
0.81,9.144,3.048,281.680632,26.6175,67.2,-2,22,11,2021,20,11,2021,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,3396.2357470833335
0.14,2.7432000000000003,1.2192,23.586784,20.9475,130.935,-1,3,4,2023,2,4,2023,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,872.2287173194742
0.44,11.5824,2.4384,571.52592,15.96,72.03,0,8,9,2020,8,9,2020,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1211.6690003014348
0.33,2.4384,1.2192,29.48348,26.4075,84.0,3,15,4,2020,18,4,2020,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,788.3035412412133
0.13,7.62,3.3528,69.853168,18.27,79.1175,-1,18,10,2021,17,10,2021,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,707.8247756978814
0.16,2.1336,1.2192,254.465112,29.7675,128.0475,3,28,10,2019,31,10,2019,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,1095.7751891040448
0.67,4.2672,2.1336,116.573144,16.17,64.05,-4,23,2,2023,19,2,2023,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,1421.2304806291143
0.84,9.7536,3.3528,112.037224,24.57,124.53,-4,3,1,2023,30,12,2022,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,4134.131357499999
0.2,9.144,2.4384,603.27736,28.455,116.4975,1,4,11,2022,5,11,2022,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1012.37290302094
0.47,5.1816,2.4384,171.911368,24.4125,128.31,-1,24,7,2023,23,7,2023,True,False,False,False,False,False,False,True,True,True,True,False,False,True,True,False,1832.7983264716875
0.41,2.7432000000000003,1.2192,303.453048,26.6175,86.94,3,1,11,2020,4,11,2020,False,False,True,False,False,False,False,True,True,False,True,False,False,False,True,False,1023.9032924501371
0.44,3.9624,1.8288,124.7378,27.195,53.025,-3,10,5,2021,7,5,2021,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,955.9242597264403
0.31,3.048,1.2192,171.911368,21.1575,64.26,-1,6,11,2022,5,11,2022,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,855.2552823753393
0.49,5.1816,1.8288,183.70476,36.015,71.39999999999999,2,19,3,2023,21,3,2023,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,True,1253.536381803452
0.45,6.4008,2.1336,133.80964,15.9075,69.8775,-4,23,2,2020,19,2,2020,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,1214.1417235604142
0.73,2.4384,1.2192,1431.536352,22.4175,103.2675,4,2,7,2023,6,7,2023,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,1845.4997842290206
0.77,8.8392,3.048,118.387512,34.4925,88.9875,-1,16,2,2020,15,2,2020,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,2805.1258435984846
0.16,3.6576,2.4384,908.544776,23.4675,90.8775,1,15,5,2022,16,5,2022,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,859.310906905747
0.77,0.9144,0.6096,34.926584,18.9,55.0725,3,30,9,2019,3,10,2019,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,1276.3815706503665
0.07,2.7432000000000003,1.2192,310.71052,26.355,120.9075,0,16,8,2021,16,8,2021,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,901.8176606407619
0.26,3.9624,1.8288,67.585208,28.2975,71.715,0,8,9,2020,8,9,2020,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,828.514501992744
0.88,2.1336,1.524,22.6796,24.0975,80.01,1,24,11,2020,25,11,2020,False,False,False,True,False,False,False,False,True,True,True,False,False,False,True,True,1442.3988974937947
0.46,6.096,2.1336,389.635528,30.1875,115.605,-1,9,5,2020,8,5,2020,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,1791.2482368266521
0.64,5.486400000000001,2.7432000000000003,442.705792,22.89,81.0075,0,17,4,2023,17,4,2023,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,1728.6764836882287
0.39,5.1816,1.8288,165.107488,19.1625,90.9825,0,9,9,2021,9,9,2021,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,1083.9918799957654
0.0,3.6576,2.4384,194.137376,17.325,97.8075,-4,29,5,2021,25,5,2021,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,838.2834486068781
0.37,7.62,1.8288,147.870992,31.9725,56.0175,-3,16,1,2023,13,1,2023,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,904.7094586810937
0.12,4.572,2.1336,418.665416,19.32,58.3275,3,20,7,2021,23,7,2021,True,False,False,False,False,False,False,True,True,True,True,False,False,True,True,False,736.2935574450623
0.64,4.8768,1.8288,205.023584,30.345,94.5525,1,21,8,2020,22,8,2020,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1583.6060273982769
0.3,0.9144,0.6096,14.061352,25.7775,115.8675,-3,7,2,2022,4,2,2022,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,1015.4640463500108
0.93,1.2192,0.9144,34.0194,17.2725,76.965,-1,26,5,2022,25,5,2022,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,1453.812609230769
0.87,5.7912,4.572,273.969568,36.2775,96.0225,-1,19,1,2019,18,1,2019,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,3296.6297849621205
0.56,6.7056,1.8288,298.917128,29.4525,93.3975,0,14,8,2020,14,8,2020,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,1706.88147437317
0.28,5.7912,3.3528,449.509672,17.01,117.18,0,9,5,2021,9,5,2021,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,1085.7517675980737
0.52,10.9728,2.4384,889.947504,49.35,52.5,1,10,12,2019,11,12,2019,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,1558.470162451923
0.47,8.2296,3.048,204.569992,30.03,99.4875,-1,9,12,2021,8,12,2021,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1762.2814273956508
0.9,3.048,1.524,397.346592,30.66,97.965,2,24,12,2022,26,12,2022,False,True,False,False,False,False,False,False,True,True,True,False,False,False,True,False,2154.818776803629
0.74,2.7432000000000003,1.2192,43.998424,18.7425,53.9175,0,6,7,2021,6,7,2021,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1297.9429230521898
0.38,5.7912,1.8288,472.642864,33.3375,58.6425,2,6,9,2021,8,9,2021,True,False,False,False,False,False,False,True,False,True,True,False,False,True,True,True,1065.0106433672977
